"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 20 20:19:45 GMT 2024","Tue Aug 20 20:19:45 GMT 2024","400","1. Login","","","","","""CT 1.5 - Login Campo senha obrigatório"" (example #1)",""
"passed","Tue Aug 20 20:19:59 GMT 2024","Tue Aug 20 20:20:00 GMT 2024","1205","4. Remover do Carrinho","","","","","CT 4.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Aug 20 20:19:50 GMT 2024","Tue Aug 20 20:19:51 GMT 2024","824","2. Visualização de Produtos","","","","","CT 2.2: Visualizar produto pelo título",""
"passed","Tue Aug 20 20:20:00 GMT 2024","Tue Aug 20 20:20:01 GMT 2024","1075","4. Remover do Carrinho","","","","","CT 4.2: Remoção de mais de um produto do carrinho na tela do carrinho",""
"passed","Tue Aug 20 20:19:42 GMT 2024","Tue Aug 20 20:19:44 GMT 2024","1250","1. Login","","","","","""CT 1.1 - Login Valido"" (example #1)",""
"passed","Tue Aug 20 20:19:44 GMT 2024","Tue Aug 20 20:19:44 GMT 2024","689","1. Login","","","","","""CT 1.2 - Login Inválido"" (example #1)",""
"passed","Tue Aug 20 20:19:55 GMT 2024","Tue Aug 20 20:19:55 GMT 2024","826","3.	Adicionar ao Carrinho","","","","","CT 3.2: Inserção de apenas um produto ao carrinho",""
"passed","Tue Aug 20 20:19:44 GMT 2024","Tue Aug 20 20:19:44 GMT 2024","142","1. Login","","","","","""CT 1.3 - Login Campos obrigatórios"" (example #1)",""
"passed","Tue Aug 20 20:19:55 GMT 2024","Tue Aug 20 20:19:56 GMT 2024","889","3.	Adicionar ao Carrinho","","","","","CT 3.3: Inserção de mais de um produto ao carrinho",""
"passed","Tue Aug 20 20:20:04 GMT 2024","Tue Aug 20 20:20:07 GMT 2024","2621","5. Finalizar Compra","","","","","CT 5.1: Remoção de um produto do carrinho pela tela de produtos",""
"passed","Tue Aug 20 20:19:48 GMT 2024","Tue Aug 20 20:19:50 GMT 2024","1291","2. Visualização de Produtos","","","","","CT 2.1: Visualizar produto pela imagem",""
"passed","Tue Aug 20 20:19:45 GMT 2024","Tue Aug 20 20:19:45 GMT 2024","411","1. Login","","","","","""CT 1.4 - Login Campo usuário obrigatório"" (example #1)",""
"passed","Tue Aug 20 20:19:54 GMT 2024","Tue Aug 20 20:19:55 GMT 2024","1059","3.	Adicionar ao Carrinho","","","","","CT 3.1: Inserção de nenhum produto ao carrinho",""
